rank,task,scenario,model,model_type,features,n_features,sensor_subset,input_strategy,segment,input_length_pct,rmse,r2,mae,eval_mode
15,H6S3_T1,H6_S3,feature_gru,DL,Delta+Meta,27,all_6,segment,Excl_Exit,100,0.108623,0.338441,0.087495,all_vb
16,S1_T2,S1,feature_gru,DL,Raw+Delta+Meta,51,all_6,prefix,-,80,0.10896,0.492644,0.089931,all_vb
17,H6S3_T3,H6_S3,feature_gru,DL,Delta+Meta,27,all_6,segment,Steady,100,0.10907,0.348438,0.088003,all_vb
18,H11_S1_T1,H11_S1,XGBoost,ML,Delta+Meta,11,AC+vS,prefix,-,100,0.109247,,,observed_vb
19,S1_T4,S1,SVR,ML,Delta+Meta,27,all_6,prefix,-,100,0.109773,0.660737,0.087386,all_vb
20,H11_S1_T0,H11_S1,XGBoost,ML,Delta+Meta,27,all_6,prefix,-,100,0.110994,,,observed_vb
21,S1_T4,S1,XGBoost,ML,Delta+Meta,27,all_6,prefix,-,100,0.111153,0.711265,0.081868,all_vb
22,S1_T7,S1,XGBoost,ML,Delta,24,all_6,prefix,-,100,0.111917,0.713312,0.082127,all_vb
23,S1_T4,S1,feature_gru,DL,Delta+Meta,27,all_6,prefix,-,100,0.111976,0.302723,0.089073,all_vb
24,H6S3_T9,H6_S3,feature_gru,DL,Delta_ts+Meta,15,all_6,exit_aware,-,100,0.11235,0.413258,0.091023,all_vb
25,H11_S1_T2,H11_S1,RandomForest,ML,Delta+Meta,19,AC+vT+vS+aS,prefix,-,100,0.112924,,,observed_vb
26,H6S3_T8,H6_S3,feature_gru,DL,Delta_ts+Meta,15,all_6,prefix,-,100,0.112949,0.258171,0.089993,all_vb
27,H6S3_T4,H6_S3,feature_gru,DL,Delta+Meta,27,all_6,segment,Entry+Steady+Exit,100,0.114073,0.215193,0.09116,all_vb
28,S1_T7,S1,SVR,ML,Delta,24,all_6,prefix,-,100,0.114741,0.635523,0.089845,all_vb
29,S1_T2,S1,feature_gru,DL,Raw+Delta+Meta,51,all_6,prefix,-,100,0.114759,0.433091,0.092672,all_vb
30,S1_T2,S1,SVR,ML,Raw+Delta+Meta,51,all_6,prefix,-,100,0.11546,0.613639,0.091217,all_vb
31,S3_T3,S3,XGBoost,ML,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.115577,0.663202,0.08875,all_vb
32,S3_T4,S3,XGBoost,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,90,0.116109,0.695057,0.089572,all_vb
33,S1_T1,S1,SVR,ML,Raw+Meta,27,all_6,prefix,-,100,0.116142,0.64063,0.094083,all_vb
34,S1_T2,S1,XGBoost,ML,Raw+Delta+Meta,51,all_6,prefix,-,100,0.116742,0.701987,0.088372,all_vb
35,S3_T1,S3,SVR,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.116935,0.607489,0.093358,all_vb
36,S3_T4,S3,SVR,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.116935,0.607489,0.093358,all_vb
37,S1_T8,S1,XGBoost,ML,Raw+Delta,48,all_6,prefix,-,100,0.11718,0.697639,0.089121,all_vb
38,S3_T1,S3,XGBoost,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.117981,0.681062,0.089166,all_vb
39,S3_T4,S3,XGBoost,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.117981,0.681062,0.089166,all_vb
40,S3_T2,S3,XGBoost,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.118222,0.682732,0.091987,all_vb
41,H11_S1_T3,H11_S1,RandomForest,ML,Delta+Meta,27,all_6,prefix,-,100,0.121151,,,observed_vb
42,S3_T4,S3,RandomForest,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,60,0.121919,0.663901,0.096211,all_vb
43,S1_T8,S1,SVR,ML,Raw+Delta,48,all_6,prefix,-,100,0.122029,0.544319,0.095832,all_vb
44,S1_T8,S1,RandomForest,ML,Raw+Delta,48,all_6,prefix,-,90,0.123007,0.639081,0.09577,all_vb
45,S1_T2,S1,RandomForest,ML,Raw+Delta+Meta,51,all_6,prefix,-,90,0.124327,0.624617,0.096887,all_vb
46,S3_T3,S3,RandomForest,ML,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.124527,0.644673,0.099278,all_vb
47,S1_T8,S1,RandomForest,ML,Raw+Delta,48,all_6,prefix,-,100,0.124569,0.642816,0.096447,all_vb
48,S1_T7,S1,RandomForest,ML,Delta,24,all_6,prefix,-,80,0.124883,0.611029,0.096963,all_vb
49,S1_T2,S1,RandomForest,ML,Raw+Delta+Meta,51,all_6,prefix,-,100,0.124904,0.639301,0.096782,all_vb
50,S1_T4,S1,RandomForest,ML,Delta+Meta,27,all_6,prefix,-,80,0.12505,0.612663,0.096837,all_vb
51,S1_T7,S1,Ridge,ML,Delta,24,all_6,prefix,-,80,0.125293,0.625565,0.099147,all_vb
52,S3_T2,S3,RandomForest,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.125375,0.654184,0.096736,all_vb
53,S3_T4,S3,RandomForest,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.125463,0.603716,0.098144,all_vb
54,S3_T1,S3,RandomForest,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.125463,0.603716,0.098144,all_vb
55,S1_T4,S1,RandomForest,ML,Delta+Meta,27,all_6,prefix,-,100,0.125792,0.636466,0.097473,all_vb
56,S1_T1,S1,Ridge,ML,Raw+Meta,27,all_6,prefix,-,100,0.126168,0.543321,0.103642,all_vb
57,S1_T7,S1,RandomForest,ML,Delta,24,all_6,prefix,-,100,0.126733,0.624972,0.097965,all_vb
58,S3_T2,S3,SVR,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.12764,0.544754,0.100987,all_vb
59,S3_T4,S3,feature_gru,DL,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,80,0.128962,0.530889,0.10689,all_vb
60,S3_T2,S3,feature_gru,DL,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.129798,0.540118,0.107897,all_vb
61,S3_T4,S3,feature_gru,DL,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.12995,0.519249,0.107598,all_vb
62,S3_T1,S3,feature_gru,DL,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.12995,0.519249,0.107598,all_vb
63,S1_T2,S1,Ridge,ML,Raw+Delta+Meta,51,all_6,prefix,-,70,0.132156,0.53684,0.110315,all_vb
64,S1_T8,S1,feature_gru,DL,Raw+Delta,48,all_6,prefix,-,90,0.132368,0.382713,0.107529,all_vb
65,S1_T8,S1,feature_gru,DL,Raw+Delta,48,all_6,prefix,-,100,0.132668,0.459803,0.10757,all_vb
66,S1_T1,S1,feature_gru,DL,Raw+Meta,27,all_6,prefix,-,60,0.133446,0.451618,0.11068,all_vb
67,H6S3_T7,H6_S3,feature_gru,DL,Delta_ts+Meta,15,all_6,segment,Steady,100,0.133556,0.069438,0.10703,all_vb
68,S1_T1,S1,feature_gru,DL,Raw+Meta,27,all_6,prefix,-,100,0.134222,0.472641,0.111669,all_vb
69,S1_T4,S1,Ridge,ML,Delta+Meta,27,all_6,prefix,-,80,0.135169,0.543482,0.111588,all_vb
70,S3_T3,S3,SVR,ML,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.135921,0.507176,0.110676,all_vb
71,S1_T7,S1,Ridge,ML,Delta,24,all_6,prefix,-,100,0.136877,0.491055,0.113028,all_vb
72,S3_T3,S3,feature_gru,DL,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.138264,0.429738,0.116972,all_vb
73,S1_T8,S1,Ridge,ML,Raw+Delta,48,all_6,prefix,-,90,0.14193,0.449136,0.120169,all_vb
74,S1_T8,S1,Ridge,ML,Raw+Delta,48,all_6,prefix,-,100,0.143276,0.389096,0.121496,all_vb
75,S1_T4,S1,Ridge,ML,Delta+Meta,27,all_6,prefix,-,100,0.14528,0.402082,0.123793,all_vb
76,S1_T2,S1,Ridge,ML,Raw+Delta+Meta,51,all_6,prefix,-,100,0.147054,0.236555,0.128423,all_vb
77,S1_T1,S1,XGBoost,ML,Raw+Meta,27,all_6,prefix,-,50,0.147852,0.43597,0.117732,all_vb
78,S1_T6,S1,XGBoost,ML,Raw,24,all_6,prefix,-,50,0.15139,0.421723,0.120495,all_vb
79,S3_T4,S3,Ridge,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,40,0.152209,0.416416,0.12755,all_vb
80,S3_T2,S3,Ridge,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.152545,0.322638,0.129029,all_vb
81,S1_T6,S1,RandomForest,ML,Raw,24,all_6,prefix,-,50,0.153195,0.409188,0.1221,all_vb
82,S1_T1,S1,RandomForest,ML,Raw+Meta,27,all_6,prefix,-,50,0.153309,0.403283,0.122441,all_vb
83,S1_T6,S1,Ridge,ML,Raw,24,all_6,prefix,-,100,0.15716,0.355833,0.129333,all_vb
84,S1_T6,S1,SVR,ML,Raw,24,all_6,prefix,-,100,0.157918,0.348147,0.122891,all_vb
85,S1_T1,S1,XGBoost,ML,Raw+Meta,27,all_6,prefix,-,100,0.158585,0.400035,0.123286,all_vb
86,S3_T4,S3,Ridge,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.161048,0.055048,0.14105,all_vb
87,S3_T1,S3,Ridge,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.161048,0.055048,0.14105,all_vb
88,S1_T7,S1,feature_gru,DL,Delta,24,all_6,prefix,-,100,0.161447,0.270681,0.136352,all_vb
89,S1_T6,S1,feature_gru,DL,Raw,24,all_6,prefix,-,90,0.16261,0.189431,0.130616,all_vb
90,S1_T1,S1,RandomForest,ML,Raw+Meta,27,all_6,prefix,-,100,0.164717,0.369595,0.132205,all_vb
91,S1_T8,S1,MLP,DL,Raw+Delta,48,all_6,prefix,-,70,0.165626,0.207882,0.135304,all_vb
92,S1_T6,S1,feature_gru,DL,Raw,24,all_6,prefix,-,100,0.166499,0.178688,0.137225,all_vb
93,S1_T6,S1,RandomForest,ML,Raw,24,all_6,prefix,-,100,0.167016,0.351457,0.134261,all_vb
94,S1_T6,S1,XGBoost,ML,Raw,24,all_6,prefix,-,100,0.168108,0.326133,0.132348,all_vb
95,S1_T2,S1,MLP,DL,Raw+Delta+Meta,51,all_6,prefix,-,40,0.182129,-0.093184,0.148346,all_vb
96,S1_T1,S1,MLP,DL,Raw+Meta,27,all_6,prefix,-,90,0.182705,-0.254883,0.14945,all_vb
97,S1_T8,S1,MLP,DL,Raw+Delta,48,all_6,prefix,-,100,0.182926,0.109209,0.149817,all_vb
98,S1_T1,S1,MLP,DL,Raw+Meta,27,all_6,prefix,-,100,0.184271,-0.309034,0.148267,all_vb
99,S3_T3,S3,Ridge,ML,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.187218,-0.27426,0.164453,all_vb
100,S1_T6,S1,MLP,DL,Raw,24,all_6,prefix,-,100,0.188218,0.09225,0.157026,all_vb
101,S3_T4,S3,MLP,DL,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,30,0.18981,-0.044598,0.14971,all_vb
102,S1_T7,S1,MLP,DL,Delta,24,all_6,prefix,-,40,0.190393,-0.256917,0.153833,all_vb
103,S1_T2,S1,MLP,DL,Raw+Delta+Meta,51,all_6,prefix,-,100,0.194543,-0.173133,0.158935,all_vb
104,S3_T4,S3,MLP,DL,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.196412,-0.171757,0.161462,all_vb
105,S3_T1,S3,MLP,DL,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.196412,-0.171757,0.161462,all_vb
106,S1_T7,S1,MLP,DL,Delta,24,all_6,prefix,-,100,0.19677,-0.281281,0.161652,all_vb
107,S1_T4,S1,MLP,DL,Delta+Meta,27,all_6,prefix,-,40,0.20275,-0.191335,0.168018,all_vb
108,S1_T4,S1,MLP,DL,Delta+Meta,27,all_6,prefix,-,100,0.212877,-0.455619,0.167554,all_vb
109,S3_T2,S3,MLP,DL,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.217288,-0.358926,0.180743,all_vb
110,S3_T3,S3,MLP,DL,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.288073,-2.185054,0.219654,all_vb
